name_firm,street_name,category
Квартирник,ул. Билецкий спуск 1 ,Кафе
Улица Каленикова,ул. Техническая 2А/2 ,Транспорт и перевозки
DiaDema,ул. Хатаевича 9 ,Продажа швейной фурнитуры
Спорт пицца,ул. проспект Ленина 51 ,Доставка еды и напитков
Мёбель,ул. Карповича 41 ,Мебель
Велопарковка,ул. Мазурова 99А ,Велопарковка
Арника,ул. М.Г. Ефремова 5 ,Медицина и фармацевтика
Поташ компани,ул. Советская 97 ,Изготовление и монтаж зеркал
Средняя школа № 61,ул. проспект Октября 70 ,Школы
Кафе Гастролёры,ул. проспект Октября 110 ,Кафе
Wdl Оптика,ул. Косарева 18 ,Контактные линзы
Ясли-сад № 104,ул. Молодёжная 6 ,Наука и образование
Строймастер,ул. Крестьянская 40 ,Стройматериалы
Юмасервис Плюс,ул. Советская 149 ,Товары для дома и дачи
Белинвестбанк Банкомат № 57,ул. Косарева 18 ,Бизнес
Секция по смешанным единоборствам,ул. Речицкий проспект 24 ,Спорт
Зоомагазин,ул. Д.Н. Пенязькова 59 (Индекс: 246029),"Семья, дети, домашние животные"
Гомельтэхснаб,ул. Украинская 33 ,Газобаллонное оборудование
Радио 107,ул. Шоссейная 41 ,Реклама
Государственное предприятие ГорСАП,ул. Борисенко 7А ,Коммунальные службы
Гомельоблавтотранс,ул. Речицкий проспект 7А (Индекс: 246027),Медицина и фармацевтика
Приорбанк,ул. Привокзальная площадь 1 (Индекс: 246022),Бизнес
Golden company,ул. Барыкина 153 ,Товары для дома и дачи
Ремонт обуви,ул. Советская 21 ,Ремонт обуви
Элтон,ул. Кирова 55 (Индекс: 246022),Товары для дома и дачи
Октаэдр,ул. М.Г. Ефремова 16А ,Стройматериалы
Корица,ул. Огоренко 33 ,Товары для дома и дачи
Гомельская областная клиническая больница Родильный дом,ул. Братьев Лизюковых 5 ,Медицина и фармацевтика
Тренажерный зал,ул. Мазурова 110 ,Спорт
Мини-кафе,ул. Богдана Хмельницкого 83Б ,Кафе
