name_firm,street_name,category
Наш Асгард,ул. Брестская 5 ,Тара и упаковка
Продтовары,ул. Свиридова 27 ,Товары для дома и дачи
Магазин продуктов,ул. 5-я Техническая 1А ,Товары для дома и дачи
Владлен де Люкс,ул. Советская 126 ,Уход за внешностью
Парикмахерская,ул. Оськина 38 ,Уход за внешностью
Шапкин дом,ул. Гагарина 65 ,Товары для дома и дачи
Голден пирамид,ул. Советская 242 ,Напольные покрытия
Magic-White-Gomel.by,ул. Жарковского 22 ,Уход за внешностью
"Дабрабыт, банкомат",ул. Речицкий проспект 5В (Индекс: 246027),Бизнес
Аверо-транс,ул. Сосновая 18 ,Туризм
Территориальный центр социального обслуживания населения Железнодорожного района г. Гомеля,ул. Новополесская 40 ,Общество
"Центр подготовки, повышения квалификации и переподготовки рабочих Промподготовка-образование",ул. 8-я Иногородняя 1А ,Наука и образование
ПластСтиль,ул. Барыкина 309Д ,Продажа и установка окон
Фотоуслуги,ул. Кожара 51 ,Видео- и фотоуслуги
Стройтрейдинг,ул. Сенная 24 ,Стройматериалы
Дом плюс,ул. Владимирова 12 ,Производство и поставки
Управление внутренних дел Гомельского областного исполнительного комитета,ул. Коммунаров 3 ,Государство
"Советский Отдел Департамента Охраны МВД Республики Беларусь, г. Гомель",ул. Котовского 85 ,Государство
Синтез плюс,ул. Международная 33Б ,Производство и поставки
Бытовые услуги,ул. Ильича 26 ,Бытовые услуги
"Белагропромбанк, инфокиоск",ул. Федюнинского 9 ,Реклама
Hot-dog,ул. Советская 36 ,Кафе
Афалина,ул. Барыкина 149 ,Компьютеры и интернет
Автомобильная парковка,ул. проспект Космонавтов 114 ,Автомобили
Стройсила. бай,ул. Каменщикова 3/1 ,Производство и поставки
Tortodel.by,ул. Хатаевича 9 ,Товары для кондитеров
Ремонт телефонов и компьютеров,ул. Свиридова 13 ,Ремонт телефонов
Натяжные Потолки в Гомеле Потолок-ОК,ул. Богданова 1 ,Стройматериалы
Madrock,ул. Крестьянская 30 ,Кафе
Страхование,ул. проспект Космонавтов 15 ,Все виды страхования
Красный Мозырянин,ул. переулок Якуба Коласа 46 ,Товары для дома и дачи
Игрушки,ул. Ударная 2 ,Детские игрушки и игры
БелФазенда,ул. 2-я Витебская 30 ,Пункт выдачи
Vape Shop,ул. Ильича 301 ,Товары для дома и дачи
Контенто,ул. Полесская 19 ,Товары для дома и дачи
Три цены,ул. Крестьянская 29 ,Товары для дома и дачи
Беларусбанк,ул. Интернациональная 7А ,Бизнес
Планета Узбекистан,ул. Речицкий проспект 61 ,Товары для дома и дачи
Профессиональное Обучение Макияжу в Гомеле,ул. Кирова 3 ,Обучение мастеров для салонов красоты
Креатив Трэвел,ул. Привокзальная 6 ,Турагентство
Белнефтестрах,ул. Мазурова 60 ,Все виды страхования
Ремонт техники,ул. проспект Космонавтов 61А ,Продажа компьютеров
СИБ Проект,ул. Советская 136 ,Строительство и недвижимость
Гомельская Компьютерная клиника,ул. проспект Ленина 6 ,Продажа компьютеров
Бодрячок,ул. Ильича 301 ,Кафе
Подарки,ул. проспект Октября 47 (Индекс: 246029),Магазин подарков и сувениров
"Франсабанк, пункт обмена валют",ул. проспект Победы 31 ,Обмен валюты
Мусорная площадка,ул. Народного Ополчения 2 ,Бытовые услуги
ГУО Средняя школа № 39,ул. Черноморская 2 ,Школы
Специализированный Изолятор УВД Гомельского Облисполкома,ул. Интернациональная 44 ,Медицина и фармацевтика
Одежда для всей семьи,ул. Мазурова 70Б ,Магазины секонд-хенд
Расчетно-справочный центр № 2,ул. Речицкий проспект 3 (Индекс: 246027),Коммунальные службы
PROпотолки,ул. Никольская 24 ,Стройматериалы
Ай-ти Планета,ул. Речицкий проспект 5В (Индекс: 246027),Продажа компьютеров
Аркада,ул. Барыкина 303 ,Кафе
"Белгазпромбанк, банкомат",ул. Советская 97 ,Бизнес
Свежий хлеб,ул. 8-я Иногородняя 2 ,Товары для дома и дачи
Мусорная площадка,ул. Жемчужная 10 ,Бытовые услуги
Непоседы,ул. Речицкий проспект 61 ,Развлечения
Центр кредитования Атл,ул. проспект Ленина 26 ,Микрофинансовые организации
Автошкола Юнакова,ул. Песина 30А ,Автошколы
